business_id,name,category,stars,text
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"The chick that works here is seriously retarded. Spacey as fck, dosent pay attention, and can't take an order. 

Its IV, so can't expect much. 

The pho was a little funky... wanst a huge fan of the broth, but it had a lot of veggies and tofu in it, so i was fairly satisfied. 

Iced coffee was good. 

meh."
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"It's okay. If you do not have a car and need some photos after a crazy night I guess this would be the best spot available in Isla Vista.  The broth needs depth, there is some flavor, but you need to add tons of spices and other sauces to make it worth while."
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,positive,"Honestly this place is pretty good. I've gone here several times and never had a bad experience. Food is good and the workers have all been cool, the only negative I could say about the place is that it's slightly over priced, specially for being in IV. I typically go to noodle city but if I wanna go somewhere close then pho bistro is convenient and pretty good, would suggest going there if you want a quick pho fix."
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"My son got a pho and thought it was ok. My daughter got the tofu pad Thai and she said it was horrible. It tasted very bland, with almost no flavor, also, it was super spicy!! All in all, we didn't really like the food here."
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,positive,The pineapple fried rice that I ordered was very delicious. Also service is good and the environment is very positive.
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"I wish this place was more awesome. I love hanging on Pardall. The food was not the best. In fact, not very authentic either. Service was def not with a smile either."
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,Boba was hard and smoothies were overly sweet. If you're used to going to good boba places don't bother here. Very disappointing.
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"This place is relatively smaller than other pho places in Santa Barbara. The food in general is tasty although I think they probably include MSG in it. I love their beef sandwich and the chicken one too. However, their boba is slightly pricy."
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"New owner, things have changed. Drink menu has grown. Haven't tried many. I personally think the Thai Iced Tea is no longer the same. However, the Vietnamese Iced Coffee is pretty good. Sadly, last time I ordered boba it was too mushy. It was near closing time, I don't know if that had anything to do with it.

There's a menu insert with newer items, I would skip it. Maybe some of the items are worth a shot but I'm too scared to try now. One night I ordered the Chicken Pan Fried noodle to go and, to my despair, it was not what I expected. I don't know what happened, in my mind the dish looked different, even the picture on the menu was different. I even wondered if it was a mistake. Imagine crispy deep fried noodles like the ones you put on top of a Chinese chicken salad drenched in a sauce with barely any chicken. Not the most pleasant experience.

For now, I'm sticking to the egg rolls, Bánh Mi sandwiches, Rice dishes, Bún bowls, and Iced Coffee. I wish the broth was tastier... don't usually buy Pho here unless I'm craving a hot bowl of soup. I genuinely enjoy Vietnamese cuisine and crave it often, but some menu items here are a miss. I really like those places where the menu is small, but you know everything tastes amazing. This place has variety, but most dishes are mediocre. Alas!!!! I still come here. It's conveniently near campus and sometimes you need some egg rolls to get you through finals, right? ;-)"
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Chinese,negative,"I was really hesitant to try this place because of the poor reviews. It isn't ""oh my gosh"" amazing, but it was good enough. I would definitely go back if I was in need of a pho fix. Noodle city is much closer to me, but they fail to cater to a vegetarian audience, so I never go there. 

I ordered the vegetable noodle soup with tofu and it was good. There were tons of noodles and vegetables. So much so that I ate some at the tables outside of pho bistro and the rest at home and promptly passed out afterwards. I'm not sure if that is a good or bad sign. I also had a taro milkshake, and I can't complain. It was tasty. If I was craving pho in IV, I wouldn't hesitate to come here. The service was good as well."
