business_id,name,category,stars,text
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,The burgers are amazing! French fries are decent (so get the onion rings).
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,negative,"This was our first time trying Cal Taco, as we just moved to town and it's a 3 minute walk from our apartment. You probably wouldn't notice the place unless you were looking for it, but it's less of a dive inside than you would think, i.e. chain-fast-food-restaurant-style chairs and tables that are anchored to the ground and commercial signs designating the soda and salsa bars.

We ordered two tacos each, with the beans/rice/drink combo as well. We probably should have split one of the combo plates as the walk home was a bit more of a waddle. The fish tacos were decent, but I've had better. 
http://www.yelp.com/biz_photos/VeFfrEZ4iWaecrQg6Eq4cg?select=-cSzA1ONPpzJcj_GkQ2Eow

The fish itself didn't have much flavor so most of the taco's taste came from the toppings. I'd try a burrito next time. The beans and rice were fine, but the cheese shreddings on top seemed unmeltable! Throughout the whole meal they maintained their waxy shredded-cheese shape. Ah well!

http://www.yelp.com/biz_photos/VeFfrEZ4iWaecrQg6Eq4cg?select=eLr4PuYuaIF1PUTVGQ8D1A

Overall I thought it was fine, but a littleeee too pricey for the quality."
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,"Best Onion Rings in Santa Barbara/Goleta!!! Rare combination of friendly service, good burgers and reasonably priced (Charburger for $1.99 on Sunday, Monday and Tuesday)  The service and friendly staff always have me coming back!!"
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,negative,"they started serving breakfast, and its a good deal: two eggs, two bacon, two sausage, and hashbrowns for about five bucks. not bad. the food isnt the greatest, but its reasonably priced--especially the breakfast. the burgers are mediocre and the mexican food isnt too great, but its a dependable place."
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,"This place has been around for years and it's still the best local burger/taco place in town. The fajitas are to die for.  Ultra-friendly staff and a fun, atmosphere.  Guy Fieri from DDD should visit here!"
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,negative,"I'm torn with this place. It used to be a lot better, but I read (here on Yelp) that it has recently changed ownership and that might be why my last few experiences haven't been up to the same standard as previous visits. 

First, I feel like the best thing you can get here is the crispy tacos. They have always done a good job with these (go figure, their name has taco in it.) The burgers are just okay (go figure, they're not a burger restaurant.) 

The one thing they get right in my book, consistently, is accuracy and friendliness. I've never had a mixed up order here and they never forget small details. That's a rare thing in my book. 

I'm not sure this is the best place in Goleta to eat a taco, but it's decent and if you order what they're good at making, you'll likely get a tasty meal served friendly."
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,"For being called Cal Taco, this place has some good quality burgers. Don't be fooled by their name because this is a good burger joint as well (not sure about their Mexican food).The burgers are a bit smaller than you'd expect but it's still a filling meal. I would definitely be going back!"
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,"Stopped in to Cal Taco after many years of not being there. Why did I stop
the Food is Great !  Both American and Mexican on the Menus. Burgers
are solid as well as the tacos. They have breakfast too ! Place was
half full,  nice staff and Yum Chocolate Malts !! with Real Malt !!"
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,Good food reasonably priced. On our way home from Lompoc (watched SpaceX launch) to Los Angeles and found this gem thru the Yelp app.
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Mexican,positive,"I LOVE THEIR CHARBURGERS and ONION RINGS and ZUCCHINI STICKS! I go at least two Sundays a month for the 1.89 charburger deal. I get two burgers and some onion rings, it usually costs about six bucks, WHAT A DEAL! The owner is awesome and friendly, as are the gals that work the register and the cooks in the back. They have never gotten my order wrong and their ranch dressing is to die for."
